"Item1","Item2","weight"
"Gingerbread syrup","Fudge",2
"Gingerbread syrup","Jam",1
"Gingerbread syrup","Juice",1
"Gingerbread syrup","Medialuna",1
"Gingerbread syrup","Muffin",1
"Gingerbread syrup","Pastry",1
"Gingerbread syrup","Tea",1
"Granola","Afternoon with the baker",1
"Granola","Argentina Night",1
"Granola","Bread",9
"Granola","Cake",3
"Granola","Chicken Stew",2
"Granola","Coffee",24
"Granola","Coke",1
"Granola","Cookies",1
"Granola","Extra Salami or Feta",1
"Granola","Fudge",1
"Granola","Hot chocolate",2
"Granola","Juice",2
"Granola","Medialuna",1
"Granola","Mineral water",1
"Granola","Muffin",1
"Granola","Pastry",4
"Granola","Sandwich",3
"Granola","Scandinavian",2
"Granola","Scone",1
"Granola","Smoothies",1
"Granola","Spanish Brunch",2
"Granola","Tea",7
"Granola","The Nomad",1
"Granola","Tiffin",1
"Granola","Toast",3
"Hack the stack","Art Tray",2
"Hack the stack","Coffee",1
"Hack the stack","My-5 Fruit Shoot",1
"Hack the stack","Tea",1
"Half slice Monster","Cake",1
"Half slice Monster","Coffee",2
"Half slice Monster","Cookies",1
"Half slice Monster","Hot chocolate",1
"Half slice Monster","Juice",2
"Half slice Monster","My-5 Fruit Shoot",1
"Half slice Monster","Tiffin",1
"Hearty & Seasonal","Alfajores",8
"Hearty & Seasonal","Art Tray",4
"Hearty & Seasonal","Bowl Nic Pitt",1
"Hearty & Seasonal","Bread",30
"Hearty & Seasonal","Brownie",6
"Hearty & Seasonal","Cake",8
"Hearty & Seasonal","Coffee",71
"Hearty & Seasonal","Coke",2
"Hearty & Seasonal","Cookies",3
"Hearty & Seasonal","Farm House",2
"Hearty & Seasonal","Focaccia",2
"Hearty & Seasonal","Frittata",2
"Hearty & Seasonal","Hot chocolate",7
"Hearty & Seasonal","Juice",5
"Hearty & Seasonal","Keeping It Local",2
"Hearty & Seasonal","Medialuna",3
"Hearty & Seasonal","Mighty Protein",2
"Hearty & Seasonal","Mineral water",9
"Hearty & Seasonal","Muffin",6
"Hearty & Seasonal","Pastry",3
"Hearty & Seasonal","Pick and Mix Bowls",4
"Hearty & Seasonal","Sandwich",14
"Hearty & Seasonal","Scandinavian",1
"Hearty & Seasonal","Scone",2
"Hearty & Seasonal","Smoothies",6
"Hearty & Seasonal","Soup",12
"Hearty & Seasonal","Tartine",1
"Hearty & Seasonal","Tea",22
"Hearty & Seasonal","Tiffin",1
"Hearty & Seasonal","Truffles",4
"Honey","Bread",2
"Honey","Cake",1
"Honey","Coffee",2
"Honey","Cookies",1
"Honey","Jammie Dodgers",1
"Honey","Pastry",1
"Honey","Scandinavian",1
"Honey","Tacos/Fajita",1
"Honey","Tea",2
"Hot chocolate","Afternoon with the baker",1
"Hot chocolate","Alfajores",39
"Hot chocolate","Art Tray",7
"Hot chocolate","Baguette",5
"Hot chocolate","Bakewell",3
"Hot chocolate","Bare Popcorn",1
"Hot chocolate","Basket",2
"Hot chocolate","Bread",147
"Hot chocolate","Brownie",42
"Hot chocolate","Cake",116
"Hot chocolate","Cherry me Dried fruit",1
"Hot chocolate","Chicken Stew",4
"Hot chocolate","Chocolates",5
"Hot chocolate","Christmas common",1
"Hot chocolate","Coffee",341
"Hot chocolate","Coke",6
"Hot chocolate","Cookies",76
"Hot chocolate","Crisps",3
"Hot chocolate","Drinking chocolate spoons",3
"Hot chocolate","Duck egg",1
"Hot chocolate","Eggs",2
"Hot chocolate","Extra Salami or Feta",2
"Hot chocolate","Farm House",8
"Hot chocolate","Fudge",5
"Hot chocolate","Granola",2
"Hot chocolate","Half slice Monster",1
"Hot chocolate","Hearty & Seasonal",7
"Hot chocolate","Jam",4
"Hot chocolate","Jammie Dodgers",17
"Hot chocolate","Juice",24
"Hot chocolate","Keeping It Local",2
"Hot chocolate","Lemon and coconut",1
"Hot chocolate","Medialuna",53
"Hot chocolate","Mineral water",9
"Hot chocolate","Muffin",38
"Hot chocolate","My-5 Fruit Shoot",3
"Hot chocolate","Pastry",60
"Hot chocolate","Pick and Mix Bowls",1
"Hot chocolate","Salad",2
"Hot chocolate","Sandwich",49
"Hot chocolate","Scandinavian",5
"Hot chocolate","Scone",30
"Hot chocolate","Smoothies",10
"Hot chocolate","Soup",9
"Hot chocolate","Spanish Brunch",9
"Hot chocolate","Tartine",2
"Hot chocolate","Tea",83
"Hot chocolate","The Nomad",3
"Hot chocolate","Tiffin",14
"Hot chocolate","Toast",33
"Hot chocolate","Truffles",8
"Hot chocolate","Tshirt",1
"Hot chocolate","Vegan Feast",1
"Hot chocolate","Vegan mincepie",10
"Hot chocolate","Victorian Sponge",1
"Jam","Alfajores",2
"Jam","Bread",51
"Jam","Bread Pudding",1
"Jam","Brownie",3
"Jam","Cake",6
"Jam","Christmas common",2
"Jam","Coffee",51
"Jam","Cookies",5
"Jam","Duck egg",1
"Jam","Ella's Kitchen Pouches",2
"Jam","Extra Salami or Feta",1
"Jam","Farm House",6
"Jam","Focaccia",1
"Jam","Frittata",2
"Jam","Fudge",35
"Jam","Gingerbread syrup",1
"Jam","Hot chocolate",4
"Jam","Juice",5
"Jam","Keeping It Local",2
"Jam","Medialuna",6
"Jam","Mineral water",1
"Jam","Muffin",5
"Jam","Pastry",13
"Jam","Pick and Mix Bowls",2
"Jam","Salad",2
"Jam","Sandwich",3
"Jam","Scandinavian",4
"Jam","Scone",2
"Jam","Smoothies",1
"Jam","Soup",5
"Jam","Spanish Brunch",3
"Jam","Spread",1
"Jam","Tartine",4
"Jam","Tea",14
"Jam","The Nomad",1
"Jam","Toast",1
"Jam","Truffles",1
"Jammie Dodgers","Alfajores",4
"Jammie Dodgers","Art Tray",1
"Jammie Dodgers","Bakewell",2
"Jammie Dodgers","Bread",49
"Jammie Dodgers","Brownie",4
"Jammie Dodgers","Cake",31
"Jammie Dodgers","Caramel bites",1
"Jammie Dodgers","Chicken Stew",2
"Jammie Dodgers","Chocolates",1
"Jammie Dodgers","Coffee",76
"Jammie Dodgers","Cookies",10
"Jammie Dodgers","Eggs",1
"Jammie Dodgers","Farm House",1
"Jammie Dodgers","Frittata",1
"Jammie Dodgers","Fudge",1
"Jammie Dodgers","Honey",1
"Jammie Dodgers","Hot chocolate",17
"Jammie Dodgers","Juice",21
"Jammie Dodgers","Medialuna",7
"Jammie Dodgers","Muffin",9
"Jammie Dodgers","My-5 Fruit Shoot",1
"Jammie Dodgers","Pastry",4
"Jammie Dodgers","Sandwich",9
"Jammie Dodgers","Scandinavian",1
"Jammie Dodgers","Scone",4
"Jammie Dodgers","Smoothies",4
"Jammie Dodgers","Spanish Brunch",2
"Jammie Dodgers","Tea",26
"Jammie Dodgers","Tiffin",11
"Jammie Dodgers","Toast",1
"Jammie Dodgers","Truffles",4
"Jammie Dodgers","Vegan Feast",1
"Jammie Dodgers","Vegan mincepie",5
"Juice","Afternoon with the baker",2
"Juice","Alfajores",30
"Juice","Art Tray",8
"Juice","Bacon",1
"Juice","Baguette",3
"Juice","Bakewell",6
"Juice","Bare Popcorn",2
"Juice","Bread",76
"Juice","Brownie",24
"Juice","Cake",72
"Juice","Chicken Stew",17
"Juice","Chocolates",4
"Juice","Coffee",251
"Juice","Coke",22
"Juice","Cookies",64
"Juice","Crisps",6
"Juice","Drinking chocolate spoons",2
"Juice","Eggs",3
"Juice","Ella's Kitchen Pouches",6
"Juice","Extra Salami or Feta",4
"Juice","Farm House",5
"Juice","Focaccia",1
"Juice","Frittata",4
"Juice","Fudge",3
"Juice","Gingerbread syrup",1
"Juice","Granola",2
"Juice","Half slice Monster",2
"Juice","Hearty & Seasonal",5
"Juice","Hot chocolate",24
"Juice","Jam",5
"Juice","Jammie Dodgers",21
"Juice","Lemon and coconut",1
"Juice","Medialuna",20
"Juice","Mighty Protein",1
"Juice","Mineral water",16
"Juice","Muffin",27
"Juice","My-5 Fruit Shoot",2
"Juice","Nomad bag",1
"Juice","Panatone",1
"Juice","Pastry",24
"Juice","Pick and Mix Bowls",4
"Juice","Salad",10
"Juice","Sandwich",76
"Juice","Scandinavian",1
"Juice","Scone",19
"Juice","Smoothies",6
"Juice","Soup",17
"Juice","Spanish Brunch",27
"Juice","Tacos/Fajita",3
"Juice","Tartine",4
"Juice","Tea",75
"Juice","The Nomad",5
"Juice","Tiffin",9
"Juice","Toast",22
"Juice","Truffles",19
"Juice","Vegan mincepie",5
"Keeping It Local","Alfajores",1
"Keeping It Local","Art Tray",1
"Keeping It Local","Bread",23
"Keeping It Local","Brownie",1
"Keeping It Local","Cake",1
"Keeping It Local","Coffee",60
"Keeping It Local","Cookies",3
"Keeping It Local","Farm House",1
"Keeping It Local","Frittata",1
"Keeping It Local","Fudge",1
"Keeping It Local","Hearty & Seasonal",2
"Keeping It Local","Hot chocolate",2
"Keeping It Local","Jam",2
"Keeping It Local","Medialuna",2
"Keeping It Local","Muffin",1
"Keeping It Local","My-5 Fruit Shoot",1
"Keeping It Local","Pastry",3
"Keeping It Local","Scandinavian",1
"Keeping It Local","Smoothies",1
"Keeping It Local","Soup",1
"Keeping It Local","Tea",17
"Kids biscuit","Bread",2
"Kids biscuit","Caramel bites",1
"Kids biscuit","Coffee",7
"Kids biscuit","Fudge",1
"Kids biscuit","Mineral water",1
"Kids biscuit","Muffin",3
"Kids biscuit","My-5 Fruit Shoot",1
"Kids biscuit","Soup",1
"Kids biscuit","Tea",1
"Lemon and coconut","Bakewell",1
"Lemon and coconut","Bread",3
"Lemon and coconut","Cake",2
"Lemon and coconut","Coffee",6
"Lemon and coconut","Hot chocolate",1
"Lemon and coconut","Juice",1
"Lemon and coconut","Sandwich",2
"Lemon and coconut","Scone",1
"Lemon and coconut","Tea",2
"Medialuna","Alfajores",33
"Medialuna","Art Tray",1
"Medialuna","Baguette",7
"Medialuna","Bakewell",2
"Medialuna","Bread",174
"Medialuna","Brownie",19
"Medialuna","Cake",39
"Medialuna","Caramel bites",1
"Medialuna","Chicken Stew",5
"Medialuna","Coffee",438
"Medialuna","Coke",7
"Medialuna","Cookies",29
"Medialuna","Crepes",2
"Medialuna","Crisps",2
"Medialuna","Dulce de Leche",2
"Medialuna","Eggs",2
"Medialuna","Ella's Kitchen Pouches",3
"Medialuna","Empanadas",1
"Medialuna","Farm House",22
"Medialuna","Focaccia",6
"Medialuna","Frittata",3
"Medialuna","Fudge",7
"Medialuna","Gingerbread syrup",1
"Medialuna","Granola",1
"Medialuna","Hearty & Seasonal",3
"Medialuna","Hot chocolate",53
"Medialuna","Jam",6
"Medialuna","Jammie Dodgers",7
"Medialuna","Juice",20
"Medialuna","Keeping It Local",2
"Medialuna","Mineral water",3
"Medialuna","Muffin",19
"Medialuna","Pastry",96
"Medialuna","Salad",1
"Medialuna","Sandwich",22
"Medialuna","Scandinavian",13
"Medialuna","Scone",15
"Medialuna","Smoothies",2
"Medialuna","Soup",8
"Medialuna","Spanish Brunch",8
"Medialuna","Tartine",2
"Medialuna","Tea",89
"Medialuna","The Nomad",4
"Medialuna","Tiffin",7
"Medialuna","Toast",18
"Medialuna","Truffles",12
"Medialuna","Vegan mincepie",2
"Mighty Protein","Cake",1
"Mighty Protein","Coffee",10
"Mighty Protein","Coke",1
"Mighty Protein","Hearty & Seasonal",2
"Mighty Protein","Juice",1
"Mighty Protein","Soup",1
"Mighty Protein","Tartine",1
"Mighty Protein","Tea",3
"Mineral water","Alfajores",12
"Mineral water","Bakewell",1
"Mineral water","Bread",35
"Mineral water","Brownie",9
"Mineral water","Cake",14
"Mineral water","Chicken Stew",3
"Mineral water","Chocolates",1
"Mineral water","Coffee",64
"Mineral water","Coke",11
"Mineral water","Cookies",14
"Mineral water","Crisps",2
"Mineral water","Drinking chocolate spoons",2
"Mineral water","Extra Salami or Feta",1
"Mineral water","Farm House",1
"Mineral water","Frittata",6
"Mineral water","Granola",1
"Mineral water","Hearty & Seasonal",9
"Mineral water","Hot chocolate",9
"Mineral water","Jam",1
"Mineral water","Juice",16
"Mineral water","Kids biscuit",1
"Mineral water","Medialuna",3
"Mineral water","Muffin",5
"Mineral water","Pastry",2
"Mineral water","Pick and Mix Bowls",3
"Mineral water","Salad",6
"Mineral water","Sandwich",36
"Mineral water","Scandinavian",3
"Mineral water","Scone",7
"Mineral water","Smoothies",2
"Mineral water","Soup",21
"Mineral water","Spanish Brunch",4
"Mineral water","Tartine",2
"Mineral water","Tea",12
"Mineral water","Tiffin",4
"Mineral water","Toast",4
"Mineral water","Truffles",11
"Mineral water","Vegan mincepie",3
"Mortimer","Coffee granules",1
"Muesli","Bread",3
"Muesli","Coffee",3
"Muesli","Cookies",1
"Muesli","Tea",2
"Muesli","The Nomad",1
"Muffin","Alfajores",17
"Muffin","Art Tray",3
"Muffin","Baguette",3
"Muffin","Bakewell",1
"Muffin","Bare Popcorn",1
"Muffin","Bowl Nic Pitt",1
"Muffin","Bread",81
"Muffin","Brownie",18
"Muffin","Cake",49
"Muffin","Chicken Stew",1
"Muffin","Coffee",227
"Muffin","Coke",5
"Muffin","Cookies",16
"Muffin","Drinking chocolate spoons",1
"Muffin","Ella's Kitchen Pouches",2
"Muffin","Empanadas",1
"Muffin","Extra Salami or Feta",1
"Muffin","Farm House",7
"Muffin","Focaccia",1
"Muffin","Frittata",6
"Muffin","Fudge",4
"Muffin","Gingerbread syrup",1
"Muffin","Granola",1
"Muffin","Hearty & Seasonal",6
"Muffin","Hot chocolate",38
"Muffin","Jam",5
"Muffin","Jammie Dodgers",9
"Muffin","Juice",27
"Muffin","Keeping It Local",1
"Muffin","Kids biscuit",3
"Muffin","Medialuna",19
"Muffin","Mineral water",5
"Muffin","My-5 Fruit Shoot",3
"Muffin","Panatone",1
"Muffin","Pastry",24
"Muffin","Salad",2
"Muffin","Sandwich",22
"Muffin","Scandinavian",13
"Muffin","Scone",7
"Muffin","Smoothies",8
"Muffin","Soup",12
"Muffin","Spanish Brunch",3
"Muffin","Tacos/Fajita",1
"Muffin","Tartine",2
"Muffin","Tea",66
"Muffin","The Nomad",2
"Muffin","Tiffin",6
"Muffin","Toast",6
"Muffin","Truffles",5
"Muffin","Vegan Feast",1
"My-5 Fruit Shoot","Alfajores",2
"My-5 Fruit Shoot","Art Tray",2
"My-5 Fruit Shoot","Bread",6
"My-5 Fruit Shoot","Brownie",4
"My-5 Fruit Shoot","Cake",3
"My-5 Fruit Shoot","Caramel bites",1
"My-5 Fruit Shoot","Coffee",8
"My-5 Fruit Shoot","Cookies",4
"My-5 Fruit Shoot","Ella's Kitchen Pouches",1
"My-5 Fruit Shoot","Fudge",1
"My-5 Fruit Shoot","Hack the stack",1
"My-5 Fruit Shoot","Half slice Monster",1
"My-5 Fruit Shoot","Hot chocolate",3
"My-5 Fruit Shoot","Jammie Dodgers",1
"My-5 Fruit Shoot","Juice",2
"My-5 Fruit Shoot","Keeping It Local",1
"My-5 Fruit Shoot","Kids biscuit",1
"My-5 Fruit Shoot","Muffin",3
"My-5 Fruit Shoot","Pastry",1
"My-5 Fruit Shoot","Sandwich",2
"My-5 Fruit Shoot","Scandinavian",1
"My-5 Fruit Shoot","Soup",1
"My-5 Fruit Shoot","Tartine",1
"My-5 Fruit Shoot","Tea",1
"Nomad bag","Bread",6
"Nomad bag","Cake",2
"Nomad bag","Coffee",6
"Nomad bag","Eggs",1
"Nomad bag","Farm House",1
"Nomad bag","Juice",1
"Nomad bag","Pastry",1
"Nomad bag","Postcard",1
"Nomad bag","Sandwich",1
"Nomad bag","Scandinavian",1
"Nomad bag","Scone",1
"Nomad bag","Spanish Brunch",1
"Nomad bag","Tshirt",1
"Olum & polenta","Bread",1
"Panatone","Art Tray",1
"Panatone","Bare Popcorn",1
"Panatone","Bread",1
"Panatone","Brownie",1
"Panatone","Cake",1
"Panatone","Coffee",1
"Panatone","Cookies",1
"Panatone","Focaccia",1
"Panatone","Fudge",1
"Panatone","Juice",1
"Panatone","Muffin",1
"Pastry","Alfajores",37
"Pastry","Art Tray",2
"Pastry","Baguette",8
"Pastry","Bakewell",3
"Pastry","Bread",313
"Pastry","Brownie",23
"Pastry","Cake",51
"Pastry","Chicken Stew",6
"Pastry","Chocolates",1
"Pastry","Coffee",613
"Pastry","Coke",8
"Pastry","Cookies",31
"Pastry","Drinking chocolate spoons",1
"Pastry","Dulce de Leche",2
"Pastry","Eggs",3
"Pastry","Ella's Kitchen Pouches",3
"Pastry","Farm House",29
"Pastry","Focaccia",4
"Pastry","Frittata",5
"Pastry","Fudge",5
"Pastry","Gingerbread syrup",1
"Pastry","Granola",4
"Pastry","Hearty & Seasonal",3
"Pastry","Honey",1
"Pastry","Hot chocolate",60
"Pastry","Jam",13
"Pastry","Jammie Dodgers",4
"Pastry","Juice",24
"Pastry","Keeping It Local",3
"Pastry","Medialuna",96
"Pastry","Mineral water",2
"Pastry","Muffin",24
"Pastry","My-5 Fruit Shoot",1
"Pastry","Nomad bag",1
"Pastry","Salad",2
"Pastry","Sandwich",14
"Pastry","Scandinavian",14
"Pastry","Scone",24
"Pastry","Smoothies",4
"Pastry","Soup",10
"Pastry","Spanish Brunch",4
"Pastry","Tartine",3
"Pastry","Tea",100
"Pastry","The Nomad",6
"Pastry","Tiffin",7
"Pastry","Toast",16
"Pastry","Truffles",16
"Pastry","Vegan Feast",1
"Pastry","Vegan mincepie",3
"Pick and Mix Bowls","Alfajores",1
"Pick and Mix Bowls","Bread",1
"Pick and Mix Bowls","Brownie",2
"Pick and Mix Bowls","Coffee",10
"Pick and Mix Bowls","Coke",1
"Pick and Mix Bowls","Cookies",2
"Pick and Mix Bowls","Focaccia",1
"Pick and Mix Bowls","Hearty & Seasonal",4
"Pick and Mix Bowls","Hot chocolate",1
"Pick and Mix Bowls","Jam",2
"Pick and Mix Bowls","Juice",4
"Pick and Mix Bowls","Mineral water",3
"Pick and Mix Bowls","Sandwich",2
"Pick and Mix Bowls","Smoothies",1
"Pick and Mix Bowls","Soup",1
"Pick and Mix Bowls","Tartine",3
"Pick and Mix Bowls","Tea",1
"Pintxos","Coke",1
"Polenta","Tea",1
"Postcard","Coffee",1
"Postcard","Nomad bag",1
"Postcard","Tshirt",6
"Postcard","Valentine's card",1
"Raspberry shortbread sandwich","Bread",1
"Raspberry shortbread sandwich","Brownie",1
"Raspberry shortbread sandwich","Coffee",1
"Raspberry shortbread sandwich","Tea",2
"Raw bars","Tea",2
"Salad","Alfajores",3
"Salad","Art Tray",3
"Salad","Baguette",4
"Salad","Bakewell",1
"Salad","Bare Popcorn",1
"Salad","Bread",20
"Salad","Brownie",1
"Salad","Cake",15
"Salad","Chicken Stew",4
"Salad","Coffee",84
"Salad","Coffee granules",1
"Salad","Coke",7
"Salad","Cookies",4
"Salad","Drinking chocolate spoons",1
"Salad","Extra Salami or Feta",16
"Salad","Farm House",2
"Salad","Frittata",2
"Salad","Hot chocolate",2
"Salad","Jam",2
"Salad","Juice",10
"Salad","Medialuna",1
"Salad","Mineral water",6
"Salad","Muffin",2
"Salad","Pastry",2
"Salad","Sandwich",20
"Salad","Scandinavian",3
"Salad","Scone",2
"Salad","Smoothies",2
"Salad","Soup",13
"Salad","Spanish Brunch",12
"Salad","Tea",21
"Salad","Tiffin",2
"Salad","Toast",5
"Salad","Truffles",7
"Salad","Valentine's card",1
"Sandwich","Alfajores",42
"Sandwich","Argentina Night",1
"Sandwich","Art Tray",8
"Sandwich","Baguette",3
"Sandwich","Bakewell",5
"Sandwich","Bare Popcorn",1
"Sandwich","Bread",200
"Sandwich","Bread Pudding",1
"Sandwich","Brownie",27
"Sandwich","Cake",81
"Sandwich","Chicken Stew",22
"Sandwich","Chocolates",1
"Sandwich","Coffee",537
"Sandwich","Coke",63
"Sandwich","Cookies",41
"Sandwich","Crepes",1
"Sandwich","Crisps",8
"Sandwich","Drinking chocolate spoons",3
"Sandwich","Duck egg",1
"Sandwich","Ella's Kitchen Pouches",1
"Sandwich","Extra Salami or Feta",7
"Sandwich","Farm House",4
"Sandwich","Focaccia",3
"Sandwich","Frittata",8
"Sandwich","Fudge",15
"Sandwich","Granola",3
"Sandwich","Hearty & Seasonal",14
"Sandwich","Hot chocolate",49
"Sandwich","Jam",3
"Sandwich","Jammie Dodgers",9
"Sandwich","Juice",76
"Sandwich","Lemon and coconut",2
"Sandwich","Medialuna",22
"Sandwich","Mineral water",36
"Sandwich","Muffin",22
"Sandwich","My-5 Fruit Shoot",2
"Sandwich","Nomad bag",1
"Sandwich","Pastry",14
"Sandwich","Pick and Mix Bowls",2
"Sandwich","Salad",20
"Sandwich","Scandinavian",4
"Sandwich","Scone",19
"Sandwich","Smoothies",19
"Sandwich","Soup",53
"Sandwich","Spanish Brunch",19
"Sandwich","Tartine",2
"Sandwich","Tea",157
"Sandwich","The Nomad",3
"Sandwich","Tiffin",12
"Sandwich","Toast",20
"Sandwich","Truffles",45
"Sandwich","Vegan mincepie",2
"Scandinavian","Afternoon with the baker",1
"Scandinavian","Alfajores",15
"Scandinavian","Baguette",9
"Scandinavian","Bread",66
"Scandinavian","Brownie",5
"Scandinavian","Cake",16
"Scandinavian","Chicken sand",1
"Scandinavian","Chimichurri Oil",1
"Scandinavian","Christmas common",1
"Scandinavian","Coffee",56
"Scandinavian","Cookies",8
"Scandinavian","Dulce de Leche",1
"Scandinavian","Eggs",2
"Scandinavian","Empanadas",1
"Scandinavian","Extra Salami or Feta",2
"Scandinavian","Fairy Doors",1
"Scandinavian","Farm House",16
"Scandinavian","Focaccia",4
"Scandinavian","Frittata",3
"Scandinavian","Fudge",4
"Scandinavian","Granola",2
"Scandinavian","Hearty & Seasonal",1
"Scandinavian","Honey",1
"Scandinavian","Hot chocolate",5
"Scandinavian","Jam",4
"Scandinavian","Jammie Dodgers",1
"Scandinavian","Juice",1
"Scandinavian","Keeping It Local",1
"Scandinavian","Medialuna",13
"Scandinavian","Mineral water",3
"Scandinavian","Muffin",13
"Scandinavian","My-5 Fruit Shoot",1
"Scandinavian","Nomad bag",1
"Scandinavian","Pastry",14
"Scandinavian","Salad",3
"Scandinavian","Sandwich",4
"Scandinavian","Scone",4
"Scandinavian","Soup",3
"Scandinavian","Tartine",1
"Scandinavian","Tea",9
"Scandinavian","Toast",4
"Scandinavian","Truffles",4
"Scandinavian","Vegan mincepie",1
"Scandinavian","Victorian Sponge",1
"Scone","Alfajores",14
"Scone","Art Tray",1
"Scone","Baguette",4
"Scone","Bakewell",1
"Scone","Bread",97
"Scone","Brioche and salami",1
"Scone","Brownie",12
"Scone","Cake",46
"Scone","Chicken Stew",2
"Scone","Coffee",219
"Scone","Coke",5
"Scone","Cookies",19
"Scone","Crepes",1
"Scone","Farm House",4
"Scone","Focaccia",2
"Scone","Frittata",7
"Scone","Fudge",1
"Scone","Granola",1
"Scone","Hearty & Seasonal",2
"Scone","Hot chocolate",30
"Scone","Jam",2
"Scone","Jammie Dodgers",4
"Scone","Juice",19
"Scone","Lemon and coconut",1
"Scone","Medialuna",15
"Scone","Mineral water",7
"Scone","Muffin",7
"Scone","Nomad bag",1
"Scone","Pastry",24
"Scone","Salad",2
"Scone","Sandwich",19
"Scone","Scandinavian",4
"Scone","Smoothies",2
"Scone","Soup",12
"Scone","Spanish Brunch",6
"Scone","Tea",89
"Scone","The Nomad",4
"Scone","Tiffin",7
"Scone","Toast",7
"Scone","Truffles",8
"Smoothies","Afternoon with the baker",1
"Smoothies","Alfajores",4
"Smoothies","Bakewell",1
"Smoothies","Bread",26
"Smoothies","Brownie",4
"Smoothies","Cake",17
"Smoothies","Chicken Stew",2
"Smoothies","Coffee",44
"Smoothies","Coke",2
"Smoothies","Cookies",7
"Smoothies","Crisps",1
"Smoothies","Farm House",1
"Smoothies","Frittata",2
"Smoothies","Fudge",1
"Smoothies","Granola",1
"Smoothies","Hearty & Seasonal",6
"Smoothies","Hot chocolate",10
"Smoothies","Jam",1
"Smoothies","Jammie Dodgers",4
"Smoothies","Juice",6
"Smoothies","Keeping It Local",1
"Smoothies","Medialuna",2
"Smoothies","Mineral water",2
"Smoothies","Muffin",8
"Smoothies","Pastry",4
"Smoothies","Pick and Mix Bowls",1
"Smoothies","Salad",2
"Smoothies","Sandwich",19
"Smoothies","Scone",2
"Smoothies","Soup",7
"Smoothies","Spanish Brunch",9
"Smoothies","Tea",9
"Smoothies","The Nomad",2
"Smoothies","Tiffin",2
"Smoothies","Toast",4
"Smoothies","Truffles",1
"Soup","Afternoon with the baker",1
"Soup","Alfajores",7
"Soup","Art Tray",7
"Soup","Bakewell",2
"Soup","Bowl Nic Pitt",1
"Soup","Bread",78
"Soup","Bread Pudding",1
"Soup","Brownie",15
"Soup","Cake",53
"Soup","Chicken Stew",15
"Soup","Coffee",201
"Soup","Coke",15
"Soup","Cookies",13
"Soup","Duck egg",1
"Soup","Empanadas",1
"Soup","Extra Salami or Feta",2
"Soup","Farm House",6
"Soup","Focaccia",2
"Soup","Frittata",4
"Soup","Fudge",1
"Soup","Hearty & Seasonal",12
"Soup","Hot chocolate",9
"Soup","Jam",5
"Soup","Juice",17
"Soup","Keeping It Local",1
"Soup","Kids biscuit",1
"Soup","Medialuna",8
"Soup","Mighty Protein",1
"Soup","Mineral water",21
"Soup","Muffin",12
"Soup","My-5 Fruit Shoot",1
"Soup","Pastry",10
"Soup","Pick and Mix Bowls",1
"Soup","Salad",13
"Soup","Sandwich",53
"Soup","Scandinavian",3
"Soup","Scone",12
"Soup","Smoothies",7
"Soup","Spanish Brunch",11
"Soup","Tea",109
"Soup","The Nomad",1
"Soup","Tiffin",2
"Soup","Toast",3
"Soup","Truffles",17
"Soup","Victorian Sponge",1
"Spanish Brunch","Afternoon with the baker",2
"Spanish Brunch","Alfajores",10
"Spanish Brunch","Art Tray",4
"Spanish Brunch","Baguette",3
"Spanish Brunch","Bakewell",1
"Spanish Brunch","Bare Popcorn",1
"Spanish Brunch","Bread",49
"Spanish Brunch","Brownie",5
"Spanish Brunch","Cake",23
"Spanish Brunch","Chicken Stew",11
"Spanish Brunch","Christmas common",1
"Spanish Brunch","Coffee",129
"Spanish Brunch","Coke",6
"Spanish Brunch","Cookies",8
"Spanish Brunch","Duck egg",6
"Spanish Brunch","Extra Salami or Feta",8
"Spanish Brunch","Farm House",4
"Spanish Brunch","Fudge",2
"Spanish Brunch","Granola",2
"Spanish Brunch","Hot chocolate",9
"Spanish Brunch","Jam",3
"Spanish Brunch","Jammie Dodgers",2
"Spanish Brunch","Juice",27
"Spanish Brunch","Medialuna",8
"Spanish Brunch","Mineral water",4
"Spanish Brunch","Muffin",3
"Spanish Brunch","Nomad bag",1
"Spanish Brunch","Pastry",4
"Spanish Brunch","Salad",12
"Spanish Brunch","Sandwich",19
"Spanish Brunch","Scone",6
"Spanish Brunch","Smoothies",9
"Spanish Brunch","Soup",11
"Spanish Brunch","Tea",54
"Spanish Brunch","The Nomad",9
"Spanish Brunch","Tiffin",2
"Spanish Brunch","Toast",10
"Spanish Brunch","Truffles",17
"Spread","Bread",1
"Spread","Fudge",1
"Spread","Jam",1
"Tacos/Fajita","Alfajores",1
"Tacos/Fajita","Bread",3
"Tacos/Fajita","Cake",3
"Tacos/Fajita","Coffee",5
"Tacos/Fajita","Coke",2
"Tacos/Fajita","Honey",1
"Tacos/Fajita","Juice",3
"Tacos/Fajita","Muffin",1
"Tacos/Fajita","Tea",3
"Tacos/Fajita","Toast",1
"Tacos/Fajita","Truffles",2
"Tartine","Alfajores",1
"Tartine","Art Tray",1
"Tartine","Bread",8
"Tartine","Brownie",2
"Tartine","Cake",1
"Tartine","Coffee",34
"Tartine","Coke",1
"Tartine","Cookies",2
"Tartine","Farm House",1
"Tartine","Fudge",1
"Tartine","Hearty & Seasonal",1
"Tartine","Hot chocolate",2
"Tartine","Jam",4
"Tartine","Juice",4
"Tartine","Medialuna",2
"Tartine","Mighty Protein",1
"Tartine","Mineral water",2
"Tartine","Muffin",2
